prname,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,numtoday,deathstoday,testedtoday,recoveredtoday,numactive,rateactive
Alberta,2020-03-08,1,0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.02
Alberta,2020-03-09,7,0,0.0,7,0.0,0.0,0.0,6,0.0,0.0,0.0,7.0,0.16
Alberta,2020-03-11,14,0,0.0,14,1969.0,0.0,0.0,0,0.0,1969.0,0.0,14.0,0.32
Alberta,2020-03-12,19,0,0.0,19,4109.0,0.0,0.0,5,0.0,2140.0,0.0,19.0,0.43
Alberta,2020-03-13,23,0,0.0,23,4109.0,0.0,0.0,4,0.0,0.0,0.0,23.0,0.53
Alberta,2020-03-14,29,0,0.0,29,5247.0,0.0,0.0,6,0.0,1138.0,0.0,29.0,0.66
Alberta,2020-03-15,39,0,0.0,39,5247.0,0.0,0.0,10,0.0,0.0,0.0,39.0,0.89
Alberta,2020-03-16,56,0,0.0,56,10238.0,0.0,0.0,17,0.0,4991.0,0.0,56.0,1.28
Alberta,2020-03-17,74,0,0.0,74,11487.0,0.0,0.0,18,0.0,1249.0,0.0,74.0,1.69
Alberta,2020-03-18,97,0,0.0,97,13686.0,0.0,0.0,23,0.0,2199.0,0.0,97.0,2.22
Alberta,2020-03-19,146,0,1.0,146,16507.0,0.0,0.0,49,1.0,2821.0,0.0,145.0,3.32
Alberta,2020-03-20,195,0,1.0,195,19782.0,0.0,0.0,49,0.0,3275.0,0.0,194.0,4.44
Alberta,2020-03-21,226,0,1.0,226,23060.0,0.0,0.0,31,0.0,3278.0,0.0,225.0,5.15
Alberta,2020-03-22,259,0,1.0,259,26999.0,0.0,0.0,33,0.0,3939.0,0.0,258.0,5.9
Alberta,2020-03-23,301,0,1.0,301,29757.0,0.0,0.0,42,0.0,2758.0,0.0,300.0,6.86
Alberta,2020-03-24,358,0,2.0,358,32776.0,0.0,0.0,57,1.0,3019.0,0.0,356.0,8.14
Alberta,2020-03-25,419,0,2.0,419,35508.0,0.0,0.0,61,0.0,2732.0,0.0,417.0,9.54
Alberta,2020-03-26,486,0,2.0,486,36600.0,27.0,5.56,67,0.0,1092.0,27.0,457.0,10.45
Alberta,2020-03-27,542,0,2.0,542,38215.0,27.0,4.98,56,0.0,1615.0,0.0,513.0,11.74
Alberta,2020-03-28,542,0,2.0,542,38215.0,53.0,9.78,0,0.0,0.0,26.0,487.0,11.14
Alberta,2020-03-29,621,0,2.0,621,44097.0,73.0,11.76,79,0.0,5882.0,20.0,546.0,12.49
